id,first_name,last_name,birthdate
1,Stephen,Perez,29/06/1969
2,John,Cox,13/03/2001
3,Tammy,Moore,30/11/1951
4,Tammy,Church,16/02/1998
5,Michele,Gray,03/12/1971
6,Joseph,Jackson,25/11/1993
7,Adrian,Allen,07/06/1979
8,Valerie,Berger,29/03/2003
9,Susan,Sanders,03/05/1986
10,Jodi,Santos,07/08/1945
11,Kathy,Choi,14/09/1967
12,Taylor,Williams,05/03/1992
13,Eric,Conway,13/04/1981
14,Dustin,Little,03/06/1993
15,Anthony,Murphy,28/09/1975
16,Rebecca,Warren,24/12/1967
17,Karen,Price,26/07/1960
18,Patricia,Johnson,27/09/1992
19,Linda,Cox,26/07/1963
20,Karen,Lopez,02/02/1996
21,Shawn,Jarvis,12/12/1999
22,Terri,Nolan,04/05/1944
23,Sarah,Walters,26/08/1947
24,Kristi,Brown,06/09/1948
25,William,Berry,20/12/1980
26,Bailey,Jones,02/06/1964
27,William,Cooper,02/12/2001
28,Ruth,Keller,18/11/1943
29,Franklin,Holland,18/12/1958
30,Kristin,Thomas,07/02/1955
31,Rebecca,Maxwell,11/03/1955
32,Keith,Ellis,05/06/1962
33,Holly,Bailey,11/02/2004
34,James,Clark,19/04/1943
35,Amy,Matthews,04/12/1995
36,Jose,White,24/01/1971
37,Stephanie,Clark,31/03/1960
38,Tracy,Singh,28/01/1985
39,Wayne,Eaton,13/05/1963
40,Brianna,Davis,03/10/1994
41,Benjamin,Jones,19/05/1976
42,Jackie,Cooper,05/11/1954
43,Sean,Lindsey,22/06/1950
44,Taylor,Gardner,04/10/1950
45,Melissa,Cabrera,07/04/2005
46,Lorraine,Garcia,24/10/1948
47,Kimberly,Rosales,01/01/1959
48,Tamara,Jones,06/03/1976
49,Juan,Diaz,05/08/1954
50,Alexandria,Gordon,26/12/2000
